Name,MapDate,DSCI
CONUS,20110104,72
CONUS,20110111,73
CONUS,20110118,74
CONUS,20110125,77
CONUS,20110201,79
CONUS,20110208,79
CONUS,20110215,81
CONUS,20110222,86
CONUS,20110301,86
CONUS,20110308,83
CONUS,20110315,81
CONUS,20110322,86
CONUS,20110329,91
CONUS,20110405,94
CONUS,20110412,94
CONUS,20110419,94
CONUS,20110426,92
CONUS,20110503,94
CONUS,20110510,99
CONUS,20110517,99
CONUS,20110524,96
CONUS,20110531,98
CONUS,20110607,104
CONUS,20110614,107
CONUS,20110621,112
CONUS,20110628,119
CONUS,20110705,121
CONUS,20110712,119
CONUS,20110719,118
CONUS,20110726,123
CONUS,20110802,132
CONUS,20110809,133
CONUS,20110816,127
CONUS,20110823,128
CONUS,20110830,133
CONUS,20110906,126
CONUS,20110913,130
CONUS,20110920,126
CONUS,20110927,125
CONUS,20111004,128
CONUS,20111011,123
CONUS,20111018,122
CONUS,20111025,122
CONUS,20111101,127
CONUS,20111108,128
CONUS,20111115,126
CONUS,20111122,122
CONUS,20111129,113
CONUS,20111206,109
CONUS,20111213,109
CONUS,20111220,105
CONUS,20111227,110
CONUS,20120103,114
CONUS,20120110,117
CONUS,20120117,121
CONUS,20120124,125
CONUS,20120131,127
CONUS,20120207,125
CONUS,20120214,126
CONUS,20120221,123
CONUS,20120228,126
CONUS,20120306,125
CONUS,20120313,129
CONUS,20120320,123
CONUS,20120327,121
CONUS,20120403,125
CONUS,20120410,128
CONUS,20120417,124
CONUS,20120424,125
CONUS,20120501,127
CONUS,20120508,120
CONUS,20120515,114
CONUS,20120522,124
CONUS,20120529,126
CONUS,20120605,127
CONUS,20120612,126
CONUS,20120619,145
CONUS,20120626,163
CONUS,20120703,177
CONUS,20120710,190
CONUS,20120717,201
CONUS,20120724,212
CONUS,20120731,213
CONUS,20120807,215
CONUS,20120814,215
CONUS,20120821,214
CONUS,20120828,212
CONUS,20120904,211
CONUS,20120911,212
CONUS,20120918,211
CONUS,20120925,212
CONUS,20121002,207
CONUS,20121009,207
CONUS,20121016,201
CONUS,20121023,200
CONUS,20121030,196
CONUS,20121106,196
CONUS,20121113,192
CONUS,20121120,197
CONUS,20121127,207
CONUS,20121204,208
CONUS,20121211,206
CONUS,20121218,206
CONUS,20121225,206
CONUS,20130101,204
CONUS,20130108,201
CONUS,20130115,195
CONUS,20130122,193
CONUS,20130129,194
CONUS,20130205,191
CONUS,20130212,184
CONUS,20130219,185
CONUS,20130226,179
CONUS,20130305,178
CONUS,20130312,172
CONUS,20130319,175
CONUS,20130326,174
CONUS,20130402,176
CONUS,20130409,171
CONUS,20130416,159
CONUS,20130423,157
CONUS,20130430,157
CONUS,20130507,162
CONUS,20130514,160
CONUS,20130521,156
CONUS,20130528,147
CONUS,20130604,144
CONUS,20130611,142
CONUS,20130618,145
CONUS,20130625,145
CONUS,20130702,146
CONUS,20130709,149
CONUS,20130716,152
CONUS,20130723,155
CONUS,20130730,150
CONUS,20130806,150
CONUS,20130813,148
CONUS,20130820,150
CONUS,20130827,158
CONUS,20130903,155
CONUS,20130910,159
CONUS,20130917,148
CONUS,20130924,137
CONUS,20131001,126
CONUS,20131008,119
CONUS,20131015,113
CONUS,20131022,111
CONUS,20131029,112
CONUS,20131105,108
CONUS,20131112,108
CONUS,20131119,113
CONUS,20131126,107
CONUS,20131203,107
CONUS,20131210,106
CONUS,20131217,109
CONUS,20131224,106
CONUS,20131231,104
CONUS,20140107,108
CONUS,20140114,113
CONUS,20140121,114
CONUS,20140128,122
CONUS,20140204,123
CONUS,20140211,122
CONUS,20140218,119
CONUS,20140225,121
CONUS,20140304,120
CONUS,20140311,119
CONUS,20140318,121
CONUS,20140325,125
CONUS,20140401,127
CONUS,20140408,124
CONUS,20140415,125
CONUS,20140422,130
CONUS,20140429,131
CONUS,20140506,138
CONUS,20140513,133
CONUS,20140520,134
CONUS,20140527,131
CONUS,20140603,129
CONUS,20140610,123
CONUS,20140617,121
CONUS,20140624,119
CONUS,20140701,118
CONUS,20140708,120
CONUS,20140715,118
CONUS,20140722,118
CONUS,20140729,119
CONUS,20140805,118
CONUS,20140812,117
CONUS,20140819,117
CONUS,20140826,117
CONUS,20140902,114
CONUS,20140909,111
CONUS,20140916,109
CONUS,20140923,107
CONUS,20140930,110
CONUS,20141007,109
CONUS,20141014,105
CONUS,20141021,105
CONUS,20141028,104
CONUS,20141104,106
CONUS,20141111,106
CONUS,20141118,106
CONUS,20141125,105
CONUS,20141202,106
CONUS,20141209,108
CONUS,20141216,108
CONUS,20141223,109
CONUS,20141230,104
CONUS,20150106,100
CONUS,20150113,101
CONUS,20150120,103
CONUS,20150127,109
CONUS,20150203,106
CONUS,20150210,109
CONUS,20150217,115
CONUS,20150224,115
CONUS,20150303,112
CONUS,20150310,112
CONUS,20150317,117
CONUS,20150324,119
CONUS,20150331,126
CONUS,20150407,129
CONUS,20150414,128
CONUS,20150421,122
CONUS,20150428,122
CONUS,20150505,125
CONUS,20150512,118
CONUS,20150519,109
CONUS,20150526,101
CONUS,20150602,92
CONUS,20150609,87
CONUS,20150616,87
CONUS,20150623,89
CONUS,20150630,90
CONUS,20150707,90
CONUS,20150714,89
CONUS,20150721,89
CONUS,20150728,93
CONUS,20150804,99
CONUS,20150811,103
CONUS,20150818,105
CONUS,20150825,106
CONUS,20150901,109
CONUS,20150908,116
CONUS,20150915,117
CONUS,20150922,120
CONUS,20150929,121
CONUS,20151006,119
CONUS,20151013,125
CONUS,20151020,135
CONUS,20151027,115
CONUS,20151103,101
CONUS,20151110,97
CONUS,20151117,92
CONUS,20151124,86
CONUS,20151201,83
CONUS,20151208,80
CONUS,20151215,77
CONUS,20151222,75
CONUS,20151229,72
CONUS,20160105,68
CONUS,20160112,65
CONUS,20160119,61
CONUS,20160126,59
CONUS,20160202,60
CONUS,20160209,58
CONUS,20160216,61
CONUS,20160223,59
CONUS,20160301,60
CONUS,20160308,61
CONUS,20160315,58
CONUS,20160322,61
CONUS,20160329,65
CONUS,20160405,66
CONUS,20160412,69
CONUS,20160419,65
CONUS,20160426,65
CONUS,20160503,58
CONUS,20160510,55
CONUS,20160517,51
CONUS,20160524,53
CONUS,20160531,52
CONUS,20160607,56
CONUS,20160614,61
CONUS,20160621,64
CONUS,20160628,68
CONUS,20160705,72
CONUS,20160712,72
CONUS,20160719,77
CONUS,20160726,83
CONUS,20160802,83
CONUS,20160809,86
CONUS,20160816,79
CONUS,20160823,76
CONUS,20160830,76
CONUS,20160906,74
CONUS,20160913,74
CONUS,20160920,76
CONUS,20160927,78
CONUS,20161004,76
CONUS,20161011,78
CONUS,20161018,81
CONUS,20161025,84
CONUS,20161101,92
CONUS,20161108,95
CONUS,20161115,105
CONUS,20161122,114
CONUS,20161129,116
CONUS,20161206,106
CONUS,20161213,104
CONUS,20161220,100
CONUS,20161227,91
CONUS,20170103,81
CONUS,20170110,73
CONUS,20170117,68
CONUS,20170124,54
CONUS,20170131,51
CONUS,20170207,49
CONUS,20170214,49
CONUS,20170221,49
CONUS,20170228,52
CONUS,20170307,52
CONUS,20170314,52
CONUS,20170321,56
CONUS,20170328,53
CONUS,20170404,41
CONUS,20170411,37
CONUS,20170418,37
CONUS,20170425,29
CONUS,20170502,21
CONUS,20170509,22
CONUS,20170516,24
CONUS,20170523,20
CONUS,20170530,25
CONUS,20170606,26
CONUS,20170613,29
CONUS,20170620,29
CONUS,20170627,34
CONUS,20170704,36
CONUS,20170711,39
CONUS,20170718,47
CONUS,20170725,52
CONUS,20170801,51
CONUS,20170808,50
CONUS,20170815,48
CONUS,20170822,48
CONUS,20170829,50
CONUS,20170905,54
CONUS,20170912,60
CONUS,20170919,61
CONUS,20170926,59
CONUS,20171003,60
CONUS,20171010,58
CONUS,20171017,54
CONUS,20171024,52
CONUS,20171031,49
CONUS,20171107,48
CONUS,20171114,52
CONUS,20171121,57
CONUS,20171128,70
CONUS,20171205,79
CONUS,20171212,87
CONUS,20171219,91
CONUS,20171226,87
CONUS,20180102,92
CONUS,20180109,99
CONUS,20180116,105
CONUS,20180123,112
CONUS,20180130,124
CONUS,20180206,128
CONUS,20180213,118
CONUS,20180220,117
CONUS,20180227,103
CONUS,20180306,104
CONUS,20180313,105
CONUS,20180320,104
CONUS,20180327,104
CONUS,20180403,102
CONUS,20180410,102
CONUS,20180417,98
CONUS,20180424,98
CONUS,20180501,99
CONUS,20180508,100
CONUS,20180515,103
CONUS,20180522,99
CONUS,20180529,97
CONUS,20180605,102
CONUS,20180612,104
CONUS,20180619,101
CONUS,20180626,104
CONUS,20180703,106
CONUS,20180710,106
CONUS,20180717,108
CONUS,20180724,115
CONUS,20180731,118
CONUS,20180807,121
CONUS,20180814,124
CONUS,20180821,121
CONUS,20180828,119
CONUS,20180904,116
CONUS,20180911,106
CONUS,20180918,107
CONUS,20180925,105
CONUS,20181002,102
CONUS,20181009,91
CONUS,20181016,82
CONUS,20181023,81
CONUS,20181030,77
CONUS,20181106,74
CONUS,20181113,73
CONUS,20181120,73
CONUS,20181127,74
CONUS,20181204,71
CONUS,20181211,72
CONUS,20181218,72
CONUS,20181225,72
CONUS,20190101,68
CONUS,20190108,67
CONUS,20190115,67
CONUS,20190122,61
CONUS,20190129,55
CONUS,20190205,55
CONUS,20190212,56
CONUS,20190219,52
CONUS,20190226,43
CONUS,20190305,42
CONUS,20190312,31
CONUS,20190319,25
CONUS,20190326,24
CONUS,20190402,27
CONUS,20190409,23
CONUS,20190416,19
CONUS,20190423,15
CONUS,20190430,14
CONUS,20190507,12
CONUS,20190514,11
CONUS,20190521,12
CONUS,20190528,15
CONUS,20190604,19
CONUS,20190611,15
CONUS,20190618,15
CONUS,20190625,14
CONUS,20190702,14
CONUS,20190709,15
CONUS,20190716,14
CONUS,20190723,14
CONUS,20190730,18
CONUS,20190806,24
CONUS,20190813,31
CONUS,20190820,35
CONUS,20190827,39
CONUS,20190903,41
CONUS,20190910,48
CONUS,20190917,52
CONUS,20190924,61
CONUS,20191001,65
CONUS,20191008,66
CONUS,20191015,72
CONUS,20191022,68
CONUS,20191029,59
CONUS,20191105,50
CONUS,20191112,50
CONUS,20191119,50
CONUS,20191126,53
CONUS,20191203,48
CONUS,20191210,44
CONUS,20191217,44
CONUS,20191224,42
CONUS,20191231,39
CONUS,20200107,39
CONUS,20200114,37
CONUS,20200121,40
CONUS,20200128,40
CONUS,20200204,39
CONUS,20200211,38
CONUS,20200218,36
CONUS,20200225,36
CONUS,20200303,38
CONUS,20200310,40
CONUS,20200317,41
CONUS,20200324,40
CONUS,20200331,43
CONUS,20200407,43
CONUS,20200414,45
CONUS,20200421,48
CONUS,20200428,50
CONUS,20200505,54
CONUS,20200512,60
CONUS,20200519,63
CONUS,20200526,61
CONUS,20200602,65
CONUS,20200609,70
CONUS,20200616,79
CONUS,20200623,82
CONUS,20200630,84
CONUS,20200707,88
CONUS,20200714,93
CONUS,20200721,102
CONUS,20200728,106
CONUS,20200804,106
CONUS,20200811,107
CONUS,20200818,115
CONUS,20200825,129
CONUS,20200901,130
CONUS,20200908,133
CONUS,20200915,133
CONUS,20200922,137
CONUS,20200929,148
CONUS,20201006,154
CONUS,20201013,160
CONUS,20201020,164
CONUS,20201027,161
CONUS,20201103,157
CONUS,20201110,163
CONUS,20201117,167
CONUS,20201124,177
CONUS,20201201,178
CONUS,20201208,181
CONUS,20201215,182
CONUS,20201222,183
CONUS,20201229,182
CONUS,20210105,171
CONUS,20210112,170
CONUS,20210119,172
CONUS,20210126,171
CONUS,20210202,171
CONUS,20210209,171
CONUS,20210216,167
CONUS,20210223,167
CONUS,20210302,166
CONUS,20210309,172
CONUS,20210316,166
CONUS,20210323,164
CONUS,20210330,164
CONUS,20210406,169
CONUS,20210413,169
CONUS,20210420,174
CONUS,20210427,180
CONUS,20210504,176
CONUS,20210511,171
CONUS,20210518,167
CONUS,20210525,166
CONUS,20210601,164
CONUS,20210608,170
CONUS,20210615,170
CONUS,20210622,175
CONUS,20210629,174
CONUS,20210706,174
CONUS,20210713,173
CONUS,20210720,174
CONUS,20210727,173
CONUS,20210803,174
CONUS,20210810,178
CONUS,20210817,178
CONUS,20210824,175
CONUS,20210831,171
CONUS,20210907,168
CONUS,20210914,171
CONUS,20210921,173
CONUS,20210928,177
CONUS,20211005,176
CONUS,20211012,174
CONUS,20211019,169
CONUS,20211026,170
CONUS,20211102,167
CONUS,20211109,167
CONUS,20211116,167
CONUS,20211123,172
CONUS,20211130,181
CONUS,20211207,187
CONUS,20211214,188
CONUS,20211221,186
CONUS,20211228,181
CONUS,20220104,176
CONUS,20220111,175
CONUS,20220118,175
CONUS,20220125,176
CONUS,20220201,178
CONUS,20220208,175
CONUS,20220215,179
CONUS,20220222,181
CONUS,20220301,187
CONUS,20220308,195
CONUS,20220315,197
CONUS,20220322,189
CONUS,20220329,188
CONUS,20220405,189
CONUS,20220412,189
CONUS,20220419,187
CONUS,20220426,184
CONUS,20220503,181
CONUS,20220510,178
CONUS,20220517,183
CONUS,20220524,179
CONUS,20220531,170
CONUS,20220607,165
CONUS,20220614,160
CONUS,20220621,166
CONUS,20220628,171
CONUS,20220705,174
CONUS,20220712,173
CONUS,20220719,179
CONUS,20220726,181
CONUS,20220802,178
CONUS,20220809,175
CONUS,20220816,172
CONUS,20220823,161
CONUS,20220830,156
CONUS,20220906,150
CONUS,20220913,154
CONUS,20220920,162
CONUS,20220927,171
CONUS,20221004,179
CONUS,20221011,188
CONUS,20221018,194
CONUS,20221025,201
CONUS,20221101,202
CONUS,20221108,197
CONUS,20221115,191
CONUS,20221122,191
CONUS,20221129,185
CONUS,20221206,180
CONUS,20221213,175
CONUS,20221220,165
CONUS,20221227,165
CONUS,20230103,154
CONUS,20230110,145
CONUS,20230117,142
CONUS,20230124,137
CONUS,20230131,135
CONUS,20230207,130
CONUS,20230214,125
CONUS,20230221,124
CONUS,20230228,118
CONUS,20230307,116
CONUS,20230314,111
CONUS,20230321,108
CONUS,20230328,103
CONUS,20230404,101
CONUS,20230411,93
CONUS,20230418,93
CONUS,20230425,92
CONUS,20230502,90
CONUS,20230509,88
CONUS,20230516,77
CONUS,20230523,74
CONUS,20230530,82
CONUS,20230606,87
CONUS,20230613,89
CONUS,20230620,94
CONUS,20230627,93
CONUS,20230704,91
CONUS,20230711,88
CONUS,20230718,86
CONUS,20230725,90
CONUS,20230801,93
CONUS,20230808,96
CONUS,20230815,97
CONUS,20230822,107
CONUS,20230829,113
CONUS,20230905,120
CONUS,20230912,124
CONUS,20230919,131
CONUS,20230926,130
CONUS,20231003,135
CONUS,20231010,133
CONUS,20231017,132
CONUS,20231024,133
CONUS,20231031,122
CONUS,20231107,125
CONUS,20231114,126
CONUS,20231121,126
CONUS,20231128,122
CONUS,20231205,117
CONUS,20231212,115
CONUS,20231219,115
CONUS,20231226,111
CONUS,20240102,112
CONUS,20240109,107
CONUS,20240116,99
CONUS,20240123,95
CONUS,20240130,81
CONUS,20240206,74
CONUS,20240213,69
CONUS,20240220,70
CONUS,20240227,78
CONUS,20240305,79
CONUS,20240312,77
CONUS,20240319,74
CONUS,20240326,67
CONUS,20240402,66
CONUS,20240409,62
CONUS,20240416,63
CONUS,20240423,63
